title,content,description,iconURL,unlockCondition
Eco-low!,Bike to the moon,You chose biking over cars and your legs are now solar powered.,/img/badges/badgeBike,Complete 50 km of trips by bike or on foot.
Veggie Hero,Plants before pants,You saved the world one veggie meal at a time.,/img/badges/badgeVeggie,Replace meat in 10 meals.
Stream Saver,SD is the new HD,You binged responsibly without burning the planet.,/img/badges/badgeStream,Watch 10 videos in standard definition.
Carpool Champ,"Dirty but together",You made traffic jams greener and chattier.,/img/badges/badgeCarpool,Complete 5 carpool rides.
Homebody Wizard,The insulation nation,Your house is now officially a cozy eco-fortress.,/img/badges/badgeHome,Improve your home’s insulation or energy efficiency.
Green Electron,Powered by unicorns,Your electricity is greener than a salad bar.,/img/badges/badgeGreen,Switch to renewable electricity or green supplier.
Local Legend,Farmer’s market MVP,You ate fresher than fresh and supported locals.,/img/badges/badgeLocal,Buy 5 meals worth of local food.
Tech Tamer,One phone to rule them all,You resisted the shiny new gadget trap.,/img/badges/badgeTech,Keep your phone/device for 4+ years.
Plant-Based Pro,Moo-free master,You made cows everywhere breathe easier.,/img/badges/badgePlant,Have 5 fully plant-based days.
Nature Nomad,Walk like you talk it,You adventured without emissions — pure legend.,/img/badges/badgeNature,Spend 10 hours hiking or biking outdoors.
